city,hotel_name,address,rating,review_count,price
Kolkata,Hotel O Marquis Street Formerly BK International,"Near HDFC Bank, Kolkata",4.4,871,₹1092
Kolkata,Super Hotel O Chinar Park Kolkata Formerly Zapper Inn,"Jhowtala Lane, Kolkata",4.9,196,₹587
Kolkata,Collection O City Center New Town Kolkata Formerly Paradise Inn,"Near Chinar Park, Kolkata",4.6,537,₹974
Kolkata,Collection O Kamala Inn Dankuni,"T. N. Mukherjee Road, Near Dankuni Housing & Above Lakhotia Medical Centre Dankuni, Hooghly West Bengal",4.4,1246,₹803
Kolkata,Super Hotel O Narayana RN Tagore Hospital Formerly Lantern Guest House,"South 24 Parganas, Kolkata",4.6,36,₹638
Kolkata,Super Collection O VIP Road Formerly Hotel Heritage,"VIP Rd, Beside Spandhan Hospital, Raghunathpur, Tegharia Netaji International Airport, Rajarhat, Kolkata, West Bengal  700059",4.6,2595,₹828
Kolkata,Super Collection O Bisarjan Ghat Formerly Eden Rocks,"Near Biswabangla Gate, Beside Newtown School, DD Block, Street number 295",4.8,1863,₹980
Kolkata,Hotel O Lenin Sarani,"Methodist Church, Kolkata",4.3,1318,₹968
Kolkata,Super Hotel O Alipore Near Chetla Formerly Alipore Guest House,"Near Raja Santosh Road, Alipore, Kolkata",4.7,1695,₹946
Kolkata,Hotel O Grand Eden,"Eden Court, Complex Centrus, Mall Chakpachuria Road, Water Tank 18 Action Area 2",4.8,411,₹597
Kolkata,Super Collection O New Town Near OM Sweets Formerly Shiva Inn,"Action Area 1, Kolkata",4.5,1552,₹895
Kolkata,Super Townhouse Hotel All In One Near City Centre Salt Lake,DL-34 Karunamoyee Near Anandalok Hospital Bidhannagar Saltlake,5,1825,₹1358
Kolkata,Super Townhouse New Town Near DLF,"North 24 Parganas, Kolkata",4.8,2128,₹977
Kolkata,Super Townhouse Oak Hotel Lake View Royal Near Science City,"Kolkata, Kolkata",4.2,557,₹1624
Kolkata,Super Townhouse Kaikhali Near Airport,"Das Para Airport, Kolkata",4.6,2408,₹823
Kolkata,Super Hotel O Shalimar Railway Junction Howrah,"Howrah, Kolkata",4.6,92,₹1014
Kolkata,Hotel O SHANTINIKETAN,"Action Area I, Kolkata",4.7,550,₹750
Kolkata,Super Hotel O Shalimar Railway Junction Formerly Tanima Villa 2,"Dakhin Buxrah, Kolkata",4.6,286,₹885
Kolkata,Super Hotel O Madhyamgram Railway Junction Formerly Dreamland,"District North 24 Paragnas, Kolkata",4.5,84,₹788
Kolkata,Super Hotel O Star Mall Kolkata Formerly Dreamland,"Muguipur, Kolkata",4.6,69,₹696
Kolkata,Hotel O Tranquil Stay,"Near Alipore guest House, Mangalam, Kolkata",3.3,138,₹1195
Kolkata,Collection O Kolkata Near Dumdum Airport,"Near Dumdum Airport, Kolkata",4.5,1503,₹1077
